Name,Overall,Potential,Age,Club,Nationality,Positions,ValueEUR,WageEUR,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,AgeCategory,RatingCategory
M. Brozović,86,86,29,Inter,Croatia,"CDM,CM",58000000,110000,69,74,81,81,81,78,Adult,World Class
N. Barella,86,89,25,Inter,Italy,CM,89500000,110000,79,76,83,84,77,81,Adult,World Class
L. Martínez,86,90,24,Inter,Argentina,ST,98500000,110000,83,83,72,85,48,84,Adult,World Class
M. Škriniar,86,87,27,Inter,Slovakia,CB,68500000,105000,78,41,57,69,88,86,Adult,World Class
C. Nkunku,86,89,24,RB Leipzig,France,"CF,CAM,ST",94000000,90000,88,81,83,88,65,66,Adult,World Class
É. Mendy,86,87,30,Chelsea,Senegal,GK,51000000,130000,84,82,81,88,34,85,Senior,World Class
Vinícius Jr.,86,92,21,Real Madrid CF,Brazil,LW,109000000,200000,95,79,74,90,29,67,Young,World Class
S. Milinković-Savić,86,87,27,Lazio,Serbia,CM,77500000,90000,68,80,82,82,79,86,Adult,World Class
N. Süle,85,87,26,Borussia Dortmund,Germany,"CB,RB",59000000,72000,71,48,66,59,85,83,Adult,World Class
N. Fekir,85,85,28,Real Betis Balompié,France,CAM,54500000,48000,83,82,82,87,38,80,Adult,World Class
S. Gnabry,85,85,26,FC Bayern München,Germany,RM,59000000,100000,82,84,79,85,43,69,Adult,World Class
İ. Gündoğan,85,85,31,Manchester City,Germany,"CM,CDM",44000000,185000,64,80,85,85,72,72,Senior,World Class
K. Walker,85,85,32,Manchester City,England,RB,37500000,170000,91,63,77,78,80,82,Senior,World Class
P. Aubameyang,85,85,33,Chelsea,Gabon,ST,34500000,180000,87,84,74,79,36,68,Senior,World Class
Jordi Alba,85,85,33,FC Barcelona,Spain,LB,28000000,190000,84,70,82,82,77,70,Senior,World Class
Sergio Busquets,85,85,33,FC Barcelona,Spain,CDM,26500000,190000,42,62,79,79,82,73,Senior,World Class
Iago Aspas,85,85,34,RC Celta de Vigo,Spain,ST,26000000,50000,82,85,79,86,35,63,Senior,World Class
P. Pogba,85,85,29,Juventus,France,"CM,CDM,LM",52500000,165000,67,80,85,85,62,80,Adult,World Class
M. Depay,85,85,28,FC Barcelona,Netherlands,"CF,ST,LW",55000000,230000,83,84,82,86,30,79,Adult,World Class
Jorginho,85,85,30,Chelsea,Italy,CM,51500000,165000,54,67,86,81,73,73,Senior,World Class
M. Acuña,85,85,30,Sevilla FC,Argentina,LB,46500000,46000,76,74,83,87,80,83,Senior,World Class
Gerard Moreno,85,85,30,Villarreal CF,Spain,ST,53000000,64000,78,86,77,83,46,72,Senior,World Class
Y. Carrasco,85,85,28,Atlético de Madrid,Belgium,LM,54500000,90000,89,82,80,87,53,67,Adult,World Class
F. Kostić,85,85,29,Juventus,Serbia,"LM,LWB",53000000,165000,84,78,82,82,68,80,Adult,World Class
J. Vardy,85,85,35,Leicester City,England,ST,23000000,110000,84,84,70,79,52,72,Senior,World Class
Pedri,85,93,19,FC Barcelona,Spain,CM,116000000,115000,79,67,81,87,68,73,Young,World Class
P. Foden,85,92,22,Manchester City,England,"LW,CF,CAM",109500000,180000,82,78,81,88,56,60,Young,World Class
M. de Ligt,85,89,22,FC Bayern München,Netherlands,CB,71000000,77000,75,59,61,69,84,87,Young,World Class
P. Schick,85,87,26,Bayer 04 Leverkusen,Czech Republic,ST,67500000,95000,78,83,71,83,36,76,Adult,World Class
T. Hernández,85,90,24,AC Milan,France,LB,76000000,82000,93,72,76,81,78,83,Adult,World Class
Diogo Jota,85,89,25,Liverpool,Portugal,"CF,LW",76000000,170000,85,83,75,85,57,77,Adult,World Class
P. Gulácsi,85,85,32,RB Leipzig,Hungary,GK,26500000,65000,85,84,76,85,43,83,Senior,World Class
Y. Sommer,85,85,33,Borussia Mönchengladbach,Switzerland,GK,17500000,40000,78,81,82,90,50,86,Senior,World Class
M. Reus,85,85,33,Borussia Dortmund,Germany,"CAM,CF,RM",33500000,78000,70,84,84,85,53,65,Senior,World Class
L. Hernández,84,86,26,FC Bayern München,France,"CB,LB",46000000,82000,77,54,70,71,84,80,Adult,Good Player
Sergio Ramos,84,84,36,Paris Saint-Germain,Spain,CB,7500000,75000,61,69,73,70,83,77,Senior,Good Player
A. Gómez,84,84,34,Sevilla FC,Argentina,"CAM,LW",20000000,47000,86,78,83,85,39,54,Senior,Good Player
S. Handanovič,84,84,37,Inter,Slovenia,GK,4700000,46000,80,80,65,85,43,90,Senior,Good Player
D. Mertens,84,84,35,Galatasaray SK,Belgium,"CF,ST,CAM",18000000,86000,78,82,80,87,34,49,Senior,Good Player
L. Suárez,84,84,35,Club Nacional de Football,Uruguay,ST,18000000,1000,70,86,78,78,46,81,Senior,Good Player
D. Tadić,84,84,33,Ajax,Serbia,"LW,CF,CAM",26500000,32000,68,81,86,84,43,77,Senior,Good Player
D. Berardi,84,84,27,U.S. Sassuolo Calcio,Italy,"RM,RW",45000000,57000,82,81,81,86,36,71,Adult,Good Player
T. Partey,84,84,29,Arsenal,Ghana,"CDM,CM",36000000,115000,65,71,81,80,80,83,Adult,Good Player
Y. Bounou,84,84,31,Sevilla FC,Morocco,GK,22500000,34000,84,81,76,86,36,84,Senior,Good Player
H. Çalhanoğlu,84,84,28,Inter,Turkey,CM,42000000,100000,67,80,85,86,68,64,Adult,Good Player
M. Kovačić,84,84,28,Chelsea,Croatia,CM,42000000,155000,70,69,83,88,71,71,Adult,Good Player
J. Grealish,84,84,26,Manchester City,England,"LW,LM,CAM",46000000,185000,76,76,83,87,46,69,Adult,Good Player
Carvajal,84,84,30,Real Madrid CF,Spain,RB,36500000,185000,82,54,77,80,78,79,Senior,Good Player
S. Savić,84,84,31,Atlético de Madrid,Montenegro,CB,29000000,74000,64,35,58,58,87,80,Senior,Good Player
E. Martínez,84,84,29,Aston Villa,Argentina,GK,29000000,95000,85,83,82,85,58,83,Adult,Good Player
R. Varane,84,85,29,Manchester United,France,CB,39000000,155000,81,49,64,66,85,80,Adult,Good Player
W. Ben Yedder,84,84,31,AS Monaco,France,ST,35500000,88000,81,84,78,88,39,68,Senior,Good Player
L. Insigne,84,84,31,Toronto FC,Italy,"LW,CF,LM",35000000,19000,84,78,84,89,36,45,Senior,Good Player
M. Hummels,84,84,33,Borussia Dortmund,Germany,"CB,RB,RW",20000000,66000,53,59,76,72,87,78,Senior,Good Player
S. de Vrij,84,84,30,Inter,Netherlands,CB,34500000,88000,68,41,65,69,87,79,Senior,Good Player
J. Matip,84,84,30,Liverpool,Cameroon,CB,34500000,140000,61,46,69,71,87,78,Senior,Good Player
K. Casteels,84,85,30,VfL Wolfsburg,Belgium,GK,31500000,55000,84,82,79,86,45,84,Senior,Good Player
Canales,84,84,31,Real Betis Balompié,Spain,"RM,CAM,CDM",35000000,42000,83,79,85,82,68,71,Senior,Good Player
Muniain,84,84,29,Athletic Club de Bilbao,Spain,"LM,CAM",41500000,49000,81,77,82,87,51,61,Adult,Good Player
K. Trippier,84,84,31,Newcastle United,England,"RB,RM",30500000,120000,70,64,82,77,80,72,Senior,Good Player
L. Bonucci,84,84,35,Juventus,Italy,CB,11000000,95000,54,59,69,71,85,78,Senior,Good Player
Á. Di María,84,84,34,Juventus,Argentina,RW,20000000,160000,79,79,84,87,48,67,Senior,Good Player
E. Hazard,84,84,31,Real Madrid CF,Belgium,LW,35000000,220000,83,80,82,87,35,63,Senior,Good Player
I. Perišić,84,84,33,Tottenham Hotspur,Croatia,"LM,LWB",26500000,130000,78,81,79,82,74,78,Senior,Good Player
E. Džeko,84,84,36,Inter,Bosnia and Herzegovina,ST,14500000,80000,63,84,71,77,45,75,Senior,Good Player
G. Chiellini,84,84,37,Los Angeles FC,Italy,CB,7500000,11000,65,46,60,58,85,83,Senior,Good Player
R. De Paul,84,84,28,Atlético de Madrid,Argentina,CM,42000000,85000,78,77,83,82,75,81,Adult,Good Player
J. Bellingham,84,91,19,Borussia Dortmund,England,"CM,LM",81500000,41000,75,75,78,84,77,80,Young,Good Player
F. Chiesa,84,90,24,Juventus,Italy,LW,66500000,140000,91,81,76,86,48,73,Adult,Good Player
M. Diaby,84,88,22,Bayer 04 Leverkusen,France,"RM,LM,LW",61500000,70000,93,73,75,87,42,59,Young,Good Player
J. Tartt,84,91,24,AFC Richmond,England,ST,85500000,78000,83,87,80,85,29,74,Adult,Good Player
Rafael Leão,84,90,23,AC Milan,Portugal,"LW,LM",66500000,90000,91,77,73,86,27,74,Adult,Good Player
J. Koundé,84,89,23,FC Barcelona,France,"CB,RB",57500000,150000,84,45,64,74,85,78,Adult,Good Player
Y. Tielemans,84,86,25,Leicester City,Belgium,"CM,CDM",52500000,115000,56,80,86,81,70,73,Adult,Good Player
S. Tonali,84,90,22,AC Milan,Italy,"CDM,CM",62500000,75000,81,73,81,79,79,82,Young,Good Player
L. Díaz,84,87,25,Liverpool,Colombia,"LW,LM",56000000,155000,91,80,75,87,34,73,Adult,Good Player
Éder Militão,84,89,24,Real Madrid CF,Brazil,CB,57500000,160000,86,50,70,72,85,82,Adult,Good Player
F. Valverde,84,90,23,Real Madrid CF,Uruguay,"CM,RW",66000000,175000,87,74,80,79,78,80,Adult,Good Player
L. Sané,84,85,26,FC Bayern München,Germany,LM,49500000,90000,88,81,80,85,38,66,Adult,Good Player
R. James,84,88,22,Chelsea,England,"RWB,RB",57000000,120000,81,70,82,82,80,82,Young,Good Player
A. Bastoni,84,90,23,Inter,Italy,CB,60500000,75000,73,35,69,71,86,82,Adult,Good Player
K. Havertz,84,91,23,Chelsea,Germany,"CAM,CF,ST",84500000,130000,81,79,79,84,45,66,Adult,Good Player
João Félix,84,90,22,Atlético de Madrid,Portugal,"CF,ST",68500000,78000,83,80,81,88,40,67,Young,Good Player
A. Hakimi,84,87,23,Paris Saint-Germain,Morocco,"RB,RWB",53500000,90000,92,75,79,80,75,78,Adult,Good Player
A. Davies,84,89,21,FC Bayern München,Canada,"LB,LM",60500000,59000,94,66,77,85,76,77,Young,Good Player
D. Rice,84,87,23,West Ham United,England,CDM,52000000,83000,71,64,74,76,82,83,Adult,Good Player
M. Mount,84,87,23,Chelsea,England,"CAM,RW",57500000,130000,74,81,85,82,55,67,Adult,Good Player
J. Sancho,84,88,22,Manchester United,England,"LW,RW,LM",61500000,155000,81,74,81,89,36,59,Young,Good Player
F. Tomori,84,90,24,AC Milan,England,CB,60500000,75000,86,40,60,66,86,81,Adult,Good Player
F. Kessié,84,86,25,FC Barcelona,Côte d'Ivoire,"CDM,CM",47500000,165000,78,76,74,79,82,87,Adult,Good Player
Oyarzabal,84,86,25,Real Sociedad,Spain,"LW,RW",53000000,57000,79,83,80,83,41,62,Adult,Good Player
L. Pellegrini,84,87,26,Roma,Italy,"CAM,CM",55000000,95000,79,77,83,84,74,78,Adult,Good Player
W. Ndidi,84,86,25,Leicester City,Nigeria,"CDM,CM",47500000,105000,66,62,68,73,85,83,Adult,Good Player
Marcos Llorente,84,85,27,Atlético de Madrid,Spain,"CM,RM,RB",48000000,81000,88,79,81,82,78,81,Adult,Good Player
M. Ødegaard,84,89,23,Arsenal,Norway,"CAM,CM",63500000,105000,76,75,86,84,58,63,Adult,Good Player
D. Vlahović,84,91,22,Juventus,Serbia,ST,86500000,140000,80,85,66,78,28,79,Young,Good Player
Diego Carlos,83,83,29,Aston Villa,Brazil,CB,30500000,105000,76,47,63,67,82,82,Adult,Good Player
Angeliño,83,85,25,TSG Hoffenheim,Spain,"LWB,LM",42000000,64000,78,71,82,84,76,70,Adult,Good Player
O. Dembélé,83,86,25,FC Barcelona,France,"RW,LW",48000000,180000,93,77,79,87,36,56,Adult,Good Player
Marco Asensio,83,84,26,Real Madrid CF,Spain,RW,43000000,200000,82,80,81,83,43,62,Adult,Good Player
Rúben Neves,83,86,25,Wolverhampton Wanderers,Portugal,"CM,CDM",47500000,105000,58,74,86,77,76,73,Adult,Good Player
Merino,83,86,26,Real Sociedad,Spain,CM,47000000,49000,73,78,81,82,82,81,Adult,Good Player
K. Laimer,83,84,25,RB Leipzig,Austria,"CDM,CM",38500000,64000,84,68,78,79,81,78,Adult,Good Player
P. Kimpembe,83,86,26,Paris Saint-Germain,France,CB,42000000,95000,80,43,68,69,83,86,Adult,Good Player
Fabián,83,85,26,Paris Saint-Germain,Spain,"CM,CDM",44500000,105000,61,79,80,83,74,72,Adult,Good Player
F. Mendy,83,84,27,Real Madrid CF,France,LB,38000000,170000,92,64,77,78,78,84,Adult,Good Player
Ronaldo Cabrais,83,83,30,Palmeiras,Brazil,"CAM,RM",35000000,59000,88,77,83,84,35,72,Senior,Good Player
Gabriel Jesus,83,86,25,Arsenal,Brazil,"ST,RW",48500000,115000,84,82,74,86,40,74,Adult,Good Player
Unai Simón,83,86,25,Athletic Club de Bilbao,Spain,GK,37000000,30000,82,79,77,85,49,85,Adult,Good Player
V. Osimhen,83,89,23,Napoli,Nigeria,ST,58000000,72000,90,82,65,78,40,81,Adult,Good Player
P. Højbjerg,83,85,26,Tottenham Hotspur,Denmark,"CDM,CM",40500000,110000,55,73,77,77,80,82,Adult,Good Player
C. Romero,83,88,24,Tottenham Hotspur,Argentina,CB,49500000,95000,73,46,57,65,85,82,Adult,Good Player
Raphinha,83,86,25,FC Barcelona,Brazil,"RW,RM",48000000,180000,91,79,77,85,50,73,Adult,Good Player
Carlos Soler,83,88,25,Paris Saint-Germain,Spain,"CM,RM,CDM",53000000,100000,80,77,83,80,71,72,Adult,Good Player
G. Kobel,83,88,24,Borussia Dortmund,Switzerland,GK,44000000,40000,84,80,74,88,43,79,Adult,Good Player
Pau Torres,83,89,25,Villarreal CF,Spain,CB,50500000,43000,73,38,67,70,84,81,Adult,Good Player
C. Gakpo,83,87,23,PSV,Netherlands,LW,52000000,29000,87,82,77,84,41,74,Adult,Good Player
R. Araujo,83,89,23,FC Barcelona,Uruguay,"CB,RB",52000000,135000,77,51,65,61,83,83,Adult,Good Player
R. Kent,83,83,40,AFC Richmond,England,"CDM,CM",0,45000,58,71,78,75,79,83,Senior,Good Player
D. Zapata,83,83,31,Atalanta,Colombia,ST,30500000,77000,78,82,63,79,35,85,Senior,Good Player
Á. Correa,83,84,27,Atlético de Madrid,Argentina,"ST,RM,CF",42500000,80000,85,84,77,87,50,74,Adult,Good Player
J. Giménez,83,85,27,Atlético de Madrid,Uruguay,CB,38500000,68000,71,46,57,60,85,83,Adult,Good Player
T. Lemar,83,86,26,Atlético de Madrid,France,"CM,LM,RM",47000000,74000,82,78,83,87,68,64,Adult,Good Player
Bremer,83,87,25,Juventus,Brazil,CB,45500000,115000,78,50,56,65,84,79,Adult,Good Player
J. Cuadrado,83,83,34,Juventus,Colombia,"RB,RM",13500000,120000,90,75,78,87,76,72,Senior,Good Player
P. Zieliński,83,83,28,Napoli,Poland,"CAM,CM",36500000,78000,81,77,81,86,70,62,Adult,Good Player
Jesús Navas,83,83,36,Sevilla FC,Spain,"RB,RM",8000000,28000,85,68,82,81,79,57,Senior,Good Player
Piqué,83,83,35,FC Barcelona,Spain,CB,9500000,110000,56,61,71,68,83,76,Senior,Good Player
K. Schmeichel,83,83,35,OGC Nice,Denmark,GK,4000000,31000,81,78,79,86,45,81,Senior,Good Player
J. Henderson,83,83,32,Liverpool,England,"CM,CDM",28500000,135000,66,74,83,78,78,81,Senior,Good Player
Fernando,83,83,34,Sevilla FC,Brazil,"CDM,CB",12500000,39000,65,62,76,73,83,81,Senior,Good Player
L. Hrádecký,83,83,32,Bayer 04 Leverkusen,Finland,GK,18000000,55000,84,77,69,87,40,82,Senior,Good Player
David Silva,83,83,36,Real Sociedad,Spain,"CAM,CM",12000000,37000,61,72,86,85,52,53,Senior,Good Player
O. Baumann,83,83,32,TSG Hoffenheim,Germany,GK,18000000,40000,83,82,79,84,49,79,Senior,Good Player
A. Griezmann,83,83,31,Atlético de Madrid,France,"ST,CF,RW",30500000,185000,80,82,83,85,52,72,Senior,Good Player
Luis Alberto,83,83,29,Lazio,Spain,CM,35500000,74000,54,75,86,83,57,57,Adult,Good Player
Roberto Firmino,83,83,30,Liverpool,Brazil,CF,35500000,150000,74,76,79,87,59,78,Senior,Good Player
J. Stones,83,84,28,Manchester City,England,CB,34500000,150000,72,51,71,75,84,77,Adult,Good Player
H. Ziyech,83,83,29,Chelsea,Morocco,"RW,CAM",35500000,155000,76,77,87,83,50,65,Adult,Good Player
Koke,83,83,30,Atlético de Madrid,Spain,"CM,CDM",34500000,74000,70,72,84,79,78,79,Senior,Good Player
Ricardo Pereira,83,83,28,Leicester City,Portugal,"RB,RWB",33000000,105000,79,67,79,81,80,73,Adult,Good Player
J. Maddison,82,84,25,Leicester City,England,"CAM,RM",38000000,100000,73,78,84,85,54,62,Adult,Good Player
G. Rulli,82,82,30,Villarreal CF,Argentina,GK,20500000,34000,82,79,80,83,54,81,Senior,Good Player
A. Kramarić,82,82,31,TSG Hoffenheim,Croatia,"CF,CAM",25500000,54000,71,80,79,85,30,72,Senior,Good Player
Rafa,82,82,29,SL Benfica,Portugal,"RW,RM,CF",30000000,24000,91,73,75,86,50,52,Adult,Good Player
G. Di Lorenzo,82,82,28,Napoli,Italy,RB,27500000,66000,85,66,73,77,78,80,Adult,Good Player
David Soria,82,82,29,Getafe CF,Spain,GK,21000000,32000,82,81,73,83,43,81,Adult,Good Player
M. Locatelli,82,86,24,Juventus,Italy,"CDM,CM",40000000,37000,63,72,79,78,79,79,Adult,Good Player
R. Gosens,82,82,27,Inter,Germany,"LWB,LM",29500000,59000,82,75,74,79,77,80,Adult,Good Player
Gonçalo Guedes,82,85,25,Wolverhampton Wanderers,Portugal,"ST,LM,CF",41000000,105000,86,83,74,83,38,70,Adult,Good Player
J. Tah,82,84,26,Bayer 04 Leverkusen,Germany,CB,33500000,62000,67,37,59,61,83,85,Adult,Good Player
A. Christensen,82,86,26,FC Barcelona,Denmark,CB,37500000,145000,68,32,66,70,84,74,Adult,Good Player
E. Can,82,82,28,Borussia Dortmund,Germany,"CM,CB,CDM",30500000,63000,79,78,77,80,82,87,Adult,Good Player
Anderson Talisca,82,82,28,Al Nassr,Brazil,"CF,ST,CAM",31000000,64000,80,82,78,83,52,75,Adult,Good Player
J. Brandt,82,85,26,Borussia Dortmund,Germany,"CAM,CM,RM",40000000,60000,67,78,82,85,48,65,Adult,Good Player
T. Werner,82,84,26,RB Leipzig,Germany,"ST,LW",38000000,73000,90,80,69,82,35,69,Adult,Good Player
Gayà,82,83,27,Valencia CF,Spain,"LB,LM",32000000,44000,83,61,76,80,78,73,Adult,Good Player
Otávio,82,82,27,FC Porto,Portugal,"RM,LM",32500000,21000,78,69,80,85,63,71,Adult,Good Player
Grimaldo,82,83,26,SL Benfica,Spain,"LB,LWB,LM",33000000,19000,87,65,81,83,74,71,Adult,Good Player
R. Guerreiro,82,82,28,Borussia Dortmund,Portugal,"LB,LM",27500000,57000,74,77,86,87,75,55,Adult,Good Player
A. Onana,82,85,26,Inter,Cameroon,GK,30500000,59000,81,80,86,83,61,80,Adult,Good Player
M. Ginter,82,83,28,Sport-Club Freiburg,Germany,CB,29000000,40000,60,59,71,66,84,79,Adult,Good Player
S. Haller,82,82,28,Borussia Dortmund,Côte d'Ivoire,ST,31000000,68000,65,80,62,74,52,82,Adult,Good Player
Aritz Elustondo,82,83,28,Real Sociedad,Spain,"CB,RB",29000000,43000,64,39,65,62,82,78,Adult,Good Player
T. Abraham,82,85,24,Roma,England,ST,42000000,77000,83,81,66,78,36,80,Adult,Good Player
I. Bennacer,82,86,24,AC Milan,Algeria,"CDM,CM",40000000,63000,77,68,80,86,77,76,Adult,Good Player
Álex Remiro,82,84,27,Real Sociedad,Spain,GK,28000000,34000,83,76,79,84,42,85,Adult,Good Player
D. Rojas,82,83,26,AFC Richmond,Mexico,ST,36500000,74000,83,83,75,82,28,75,Adult,Good Player
F. Wirtz,82,91,19,Bayer 04 Leverkusen,Germany,"CAM,CM",66000000,38000,78,73,80,86,51,60,Young,Good Player
Antony,82,88,22,Manchester United,Brazil,"RW,RM",49000000,130000,93,74,75,86,39,69,Young,Good Player
D. Núñez,82,89,23,Liverpool,Uruguay,"ST,LW",61500000,120000,89,82,68,77,42,86,Adult,Good Player
N. Schlotterbeck,82,88,22,Borussia Dortmund,Germany,CB,44500000,47000,76,56,66,72,84,78,Young,Good Player
B. Saka,82,89,20,Arsenal,England,"RM,LM",60500000,76000,84,74,78,83,65,65,Young,Good Player
Dani Olmo,82,87,24,RB Leipzig,Spain,"CAM,CF",46000000,59000,67,76,81,86,50,59,Adult,Good Player
A. Tchouaméni,82,89,22,Real Madrid CF,France,"CM,CDM",61500000,145000,70,70,79,78,81,82,Young,Good Player
Ferran Torres,82,88,22,FC Barcelona,Spain,"LW,ST",49000000,150000,84,79,79,83,35,67,Young,Good Player
N. Mazraoui,82,86,24,FC Bayern München,Morocco,RB,40500000,59000,84,66,77,82,76,74,Adult,Good Player
A. Danjuma,82,83,25,Villarreal CF,Netherlands,"LM,ST",36500000,43000,88,81,75,82,42,68,Adult,Good Player
A. Ramsdale,82,86,24,Arsenal,England,GK,34500000,62000,83,77,85,84,48,78,Adult,Good Player
